,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
133,DI Score LR,4,young,43,0.8372093023255814,0.7441860465116279,0.9629629629629629,0.375,0.625,0.037037037037037035
160,DI Score LR,5,aged,257,0.7237354085603113,0.7509727626459144,0.8279569892473119,0.5492957746478874,0.4507042253521127,0.17204301075268819
161,DI Score LR,5,young,43,0.813953488372093,0.6976744186046512,0.9583333333333334,0.3684210526315789,0.631578947368421,0.041666666666666664
188,DI Score LR,6,aged,250,0.772,0.756,0.8707865168539326,0.4722222222222222,0.5277777777777778,0.12921348314606743
189,DI Score LR,6,young,50,0.82,0.66,0.875,0.2777777777777778,0.7222222222222222,0.125
216,DI Score LR,7,aged,255,0.807843137254902,0.7843137254901961,0.9037433155080213,0.45588235294117646,0.5441176470588235,0.0962566844919786
217,DI Score LR,7,young,45,0.8,0.5333333333333333,0.8260869565217391,0.22727272727272727,0.7727272727272727,0.17391304347826086
244,DI Score LR,8,aged,257,0.7937743190661478,0.7626459143968871,0.8950276243093923,0.4473684210526316,0.5526315789473685,0.10497237569060773
245,DI Score LR,8,young,43,0.7906976744186046,0.6976744186046512,0.8620689655172413,0.35714285714285715,0.6428571428571429,0.13793103448275862
272,DI Score LR,9,aged,256,0.7734375,0.7734375,0.8804347826086957,0.5,0.5,0.11956521739130435
273,DI Score LR,9,young,44,0.8409090909090909,0.6136363636363636,0.8846153846153846,0.2222222222222222,0.7777777777777778,0.11538461538461539
22,DI Score SVM,0,aged,258,0.6666666666666666,0.7635658914728682,0.7967914438502673,0.676056338028169,0.323943661971831,0.20320855614973263
23,DI Score SVM,0,young,42,0.8095238095238095,0.5952380952380952,0.8695652173913043,0.2631578947368421,0.7368421052631579,0.13043478260869565
50,DI Score SVM,1,aged,260,0.6730769230769231,0.7576923076923077,0.8043478260869565,0.6447368421052632,0.35526315789473684,0.1956521739130435
51,DI Score SVM,1,young,40,0.675,0.625,0.7307692307692307,0.42857142857142855,0.5714285714285714,0.2692307692307692
78,DI Score SVM,2,aged,253,0.6205533596837944,0.7391304347826086,0.7513812154696132,0.7083333333333334,0.2916666666666667,0.24861878453038674
79,DI Score SVM,2,young,47,0.5531914893617021,0.5957446808510638,0.6206896551724138,0.5555555555555556,0.4444444444444444,0.3793103448275862
106,DI Score SVM,3,aged,256,0.625,0.734375,0.7473118279569892,0.7,0.3,0.25268817204301075
107,DI Score SVM,3,young,44,0.5909090909090909,0.6363636363636364,0.7083333333333334,0.55,0.45,0.2916666666666667
134,DI Score SVM,4,aged,257,0.7042801556420234,0.7587548638132295,0.825136612021858,0.5945945945945946,0.40540540540540543,0.17486338797814208
135,DI Score SVM,4,young,43,0.6511627906976745,0.6976744186046512,0.7777777777777778,0.5625,0.4375,0.2222222222222222
162,DI Score SVM,5,aged,257,0.642023346303502,0.7315175097276264,0.7580645161290323,0.6619718309859155,0.3380281690140845,0.24193548387096775
163,DI Score SVM,5,young,43,0.7209302325581395,0.6976744186046512,0.875,0.47368421052631576,0.5263157894736842,0.125
190,DI Score SVM,6,aged,250,0.66,0.772,0.8033707865168539,0.6944444444444444,0.3055555555555556,0.19662921348314608
191,DI Score SVM,6,young,50,0.64,0.68,0.75,0.5555555555555556,0.4444444444444444,0.25
218,DI Score SVM,7,aged,255,0.7019607843137254,0.7725490196078432,0.8235294117647058,0.6323529411764706,0.36764705882352944,0.17647058823529413
219,DI Score SVM,7,young,45,0.6666666666666666,0.5777777777777777,0.7391304347826086,0.4090909090909091,0.5909090909090909,0.2608695652173913
246,DI Score SVM,8,aged,257,0.6498054474708171,0.7431906614785992,0.7790055248618785,0.6578947368421053,0.34210526315789475,0.22099447513812154
247,DI Score SVM,8,young,43,0.6976744186046512,0.6976744186046512,0.7931034482758621,0.5,0.5,0.20689655172413793
274,DI Score SVM,9,aged,256,0.6796875,0.7578125,0.8043478260869565,0.6388888888888888,0.3611111111111111,0.1956521739130435
275,DI Score SVM,9,young,44,0.7272727272727273,0.5454545454545454,0.7307692307692307,0.2777777777777778,0.7222222222222222,0.2692307692307692
24,Equal. Oppor. DP,0,aged,258,0.7558139534883721,0.7906976744186046,0.8770053475935828,0.5633802816901409,0.43661971830985913,0.12299465240641712
25,Equal. Oppor. DP,0,young,42,0.9047619047619048,0.5476190476190477,0.9130434782608695,0.10526315789473684,0.8947368421052632,0.08695652173913043
52,Equal. Oppor. DP,1,aged,260,0.8153846153846154,0.7923076923076923,0.9293478260869565,0.4605263157894737,0.5394736842105263,0.07065217391304347
53,Equal. Oppor. DP,1,young,40,0.775,0.525,0.7307692307692307,0.14285714285714285,0.8571428571428571,0.2692307692307692
80,Equal. Oppor. DP,2,aged,253,0.7549407114624506,0.7707509881422925,0.8674033149171271,0.5277777777777778,0.4722222222222222,0.13259668508287292
81,Equal. Oppor. DP,2,young,47,0.7021276595744681,0.574468085106383,0.7241379310344828,0.3333333333333333,0.6666666666666666,0.27586206896551724
108,Equal. Oppor. DP,3,aged,256,0.76171875,0.79296875,0.8817204301075269,0.5571428571428572,0.44285714285714284,0.11827956989247312
109,Equal. Oppor. DP,3,young,44,0.6818181818181818,0.5454545454545454,0.7083333333333334,0.35,0.65,0.2916666666666667
136,Equal. Oppor. DP,4,aged,257,0.8054474708171206,0.7587548638132295,0.8961748633879781,0.4189189189189189,0.581081081081081,0.10382513661202186
137,Equal. Oppor. DP,4,young,43,0.7906976744186046,0.6046511627906976,0.8148148148148148,0.25,0.75,0.18518518518518517
164,Equal. Oppor. DP,5,aged,257,0.7626459143968871,0.77431906614786,0.8709677419354839,0.5211267605633803,0.4788732394366197,0.12903225806451613
165,Equal. Oppor. DP,5,young,43,0.7906976744186046,0.7209302325581395,0.9583333333333334,0.42105263157894735,0.5789473684210527,0.041666666666666664
192,Equal. Oppor. DP,6,aged,250,0.788,0.756,0.8820224719101124,0.4444444444444444,0.5555555555555556,0.11797752808988764
193,Equal. Oppor. DP,6,young,50,0.82,0.62,0.84375,0.2222222222222222,0.7777777777777778,0.15625
220,Equal. Oppor. DP,7,aged,255,0.8274509803921568,0.788235294117647,0.9197860962566845,0.4264705882352941,0.5735294117647058,0.08021390374331551
221,Equal. Oppor. DP,7,young,45,0.7333333333333333,0.6,0.8260869565217391,0.36363636363636365,0.6363636363636364,0.17391304347826086
248,Equal. Oppor. DP,8,aged,257,0.7976653696498055,0.7587548638132295,0.8950276243093923,0.4342105263157895,0.5657894736842105,0.10497237569060773
249,Equal. Oppor. DP,8,young,43,0.8372093023255814,0.7441860465116279,0.9310344827586207,0.35714285714285715,0.6428571428571429,0.06896551724137931
276,Equal. Oppor. DP,9,aged,256,0.7890625,0.78125,0.8967391304347826,0.4861111111111111,0.5138888888888888,0.10326086956521739
277,Equal. Oppor. DP,9,young,44,0.8636363636363636,0.5909090909090909,0.8846153846153846,0.16666666666666666,0.8333333333333334,0.11538461538461539
26,Equal. Oppor. EO,0,aged,258,0.6744186046511628,0.7248062015503876,0.7754010695187166,0.5915492957746479,0.4084507042253521,0.22459893048128343
27,Equal. Oppor. EO,0,young,42,0.7619047619047619,0.5952380952380952,0.8260869565217391,0.3157894736842105,0.6842105263157895,0.17391304347826086
54,Equal. Oppor. EO,1,aged,260,0.7230769230769231,0.7230769230769231,0.8152173913043478,0.5,0.5,0.18478260869565216
55,Equal. Oppor. EO,1,young,40,0.675,0.525,0.6538461538461539,0.2857142857142857,0.7142857142857143,0.34615384615384615
82,Equal. Oppor. EO,2,aged,253,0.6798418972332015,0.7114624505928854,0.7734806629834254,0.5555555555555556,0.4444444444444444,0.2265193370165746
83,Equal. Oppor. EO,2,young,47,0.5531914893617021,0.6382978723404256,0.6551724137931034,0.6111111111111112,0.3888888888888889,0.3448275862068966
