,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
177,Corr. Remover,6,male,3597,0.07005838198498748,0.7942730052821796,0.2136150234741784,0.9744990892531876,0.025500910746812388,0.7863849765258216
204,Corr. Remover,7,female,5488,0.07161078717201166,0.8267128279883382,0.25133689839572193,0.9745762711864406,0.025423728813559324,0.7486631016042781
205,Corr. Remover,7,male,3512,0.07403189066059225,0.7821753986332574,0.2094361334867664,0.9704880817253121,0.029511918274687854,0.7905638665132336
232,Corr. Remover,8,female,5470,0.07294332723948811,0.8272394881170019,0.2601054481546573,0.9762234533702677,0.023776546629732224,0.7398945518453427
233,Corr. Remover,8,male,3530,0.07790368271954674,0.7909348441926346,0.22860492379835873,0.9701158012700785,0.029884198729921554,0.7713950762016413
260,Corr. Remover,9,female,5410,0.07153419593345656,0.821996303142329,0.2478108581436077,0.9756326148078726,0.02436738519212746,0.7521891418563923
261,Corr. Remover,9,male,3590,0.0807799442896936,0.7935933147632313,0.23439340400471143,0.9668004377964247,0.03319956220357534,0.7656065959952886
10,DI Remover,0,female,5479,0.0609600292024092,0.8134696112429275,0.20748299319727892,0.9790843597490123,0.020915640250987685,0.7925170068027211
11,DI Remover,0,male,3521,0.06049417779040046,0.7892644135188867,0.1754601226993865,0.9741315594974131,0.025868440502586843,0.8245398773006135
38,DI Remover,1,female,5427,0.051962410171365395,0.8231066887783306,0.1945945945945946,0.9847116052814454,0.015288394718554551,0.8054054054054054
39,DI Remover,1,male,3573,0.07136859781696053,0.7861740834033025,0.21112372304199772,0.9743684992570579,0.02563150074294205,0.7888762769580022
66,DI Remover,2,female,5480,0.06569343065693431,0.8191605839416058,0.22871883061049011,0.9782256196432708,0.02177438035672921,0.7712811693895099
67,DI Remover,2,male,3520,0.07102272727272728,0.8028409090909091,0.2318840579710145,0.9784546805349182,0.021545319465081723,0.7681159420289855
94,DI Remover,3,female,5455,0.054078826764436295,0.8174152153987168,0.18899733806566105,0.9810536044362292,0.018946395563770795,0.8110026619343389
95,DI Remover,3,male,3545,0.060366713681241184,0.7799717912552891,0.1724537037037037,0.9757553151809026,0.02424468481909735,0.8275462962962963
122,DI Remover,4,female,5422,0.05717447436370343,0.8210992253780892,0.2074468085106383,0.9823008849557522,0.017699115044247787,0.7925531914893617
123,DI Remover,4,male,3578,0.07070989379541644,0.7881498043599776,0.2074159907300116,0.972744014732965,0.02725598526703499,0.7925840092699884
150,DI Remover,5,female,5403,0.053303720155469185,0.8206551915602444,0.1907356948228883,0.9818688981868898,0.01813110181311018,0.8092643051771117
151,DI Remover,5,male,3597,0.08201278843480678,0.7867667500695024,0.2348314606741573,0.9682305134835612,0.03176948651643886,0.7651685393258427
178,DI Remover,6,female,5403,0.055339626133629465,0.8149176383490654,0.1922739244951712,0.9812382739212008,0.01876172607879925,0.8077260755048288
179,DI Remover,6,male,3597,0.0739505143174868,0.7970530998053934,0.22769953051643194,0.9737704918032787,0.02622950819672131,0.7723004694835681
206,DI Remover,7,female,5488,0.0581268221574344,0.8205174927113703,0.20320855614973263,0.9791571232249199,0.020842876775080166,0.7967914438502673
207,DI Remover,7,male,3512,0.08143507972665148,0.7867312072892938,0.2336018411967779,0.9685962920923193,0.03140370790768066,0.766398158803222
234,DI Remover,8,female,5470,0.06106032906764168,0.823034734917733,0.22144112478031636,0.9810710987996306,0.018928901200369344,0.7785588752196837
235,DI Remover,8,male,3530,0.07903682719546742,0.7881019830028329,0.2250879249706917,0.9675009338812103,0.032499066118789686,0.7749120750293084
262,DI Remover,9,female,5410,0.06395563770794824,0.8195933456561922,0.22416812609457093,0.978912839737582,0.021087160262417994,0.7758318739054291
263,DI Remover,9,male,3590,0.08718662952646239,0.7927576601671309,0.24617196702002356,0.9620576431959139,0.0379423568040861,0.7538280329799765
20,DI Score LR,0,female,5479,0.07720386931921884,0.8173024274502646,0.2542517006802721,0.9711828956541948,0.028817104345805252,0.7457482993197279
21,DI Score LR,0,male,3521,0.07185458676512355,0.7926725362113036,0.20736196319018405,0.9689578713968958,0.031042128603104215,0.7926380368098159
48,DI Score LR,1,female,5427,0.07204717154965912,0.8310300350101345,0.26306306306306304,0.9770674079221682,0.022932592077831826,0.736936936936937
49,DI Score LR,1,male,3573,0.06968933669185558,0.7867338371116709,0.20885357548240635,0.975854383358098,0.024145616641901933,0.7911464245175936
76,DI Score LR,2,female,5480,0.07645985401459854,0.8211678832116789,0.2588134135855546,0.9726662033819782,0.027333796618021773,0.7411865864144453
77,DI Score LR,2,male,3520,0.06704545454545455,0.8011363636363636,0.21980676328502416,0.9799405646359584,0.020059435364041606,0.7801932367149759
104,DI Score LR,3,female,5455,0.06672777268560953,0.8245646196150321,0.23691215616681455,0.9775878003696857,0.022412199630314232,0.7630878438331854
