,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
76,DI Score LR,2,aged,260,0.6961538461538461,0.7615384615384615,0.8216216216216217,0.6133333333333333,0.38666666666666666,0.1783783783783784
77,DI Score LR,2,young,40,0.875,0.7,0.96,0.26666666666666666,0.7333333333333333,0.04
104,DI Score LR,3,aged,262,0.7786259541984732,0.7442748091603053,0.8663101604278075,0.44,0.56,0.13368983957219252
105,DI Score LR,3,young,38,0.8157894736842105,0.631578947368421,0.8695652173913043,0.26666666666666666,0.7333333333333333,0.13043478260869565
132,DI Score LR,4,aged,255,0.7411764705882353,0.7294117647058823,0.8225806451612904,0.4782608695652174,0.5217391304347826,0.1774193548387097
133,DI Score LR,4,young,45,0.6888888888888889,0.5777777777777777,0.75,0.38095238095238093,0.6190476190476191,0.25
160,DI Score LR,5,aged,254,0.7440944881889764,0.8031496062992126,0.8797814207650273,0.6056338028169014,0.39436619718309857,0.12021857923497267
161,DI Score LR,5,young,46,0.7608695652173914,0.6086956521739131,0.8148148148148148,0.3157894736842105,0.6842105263157895,0.18518518518518517
188,DI Score LR,6,aged,259,0.7374517374517374,0.7606177606177607,0.8486486486486486,0.5405405405405406,0.4594594594594595,0.15135135135135136
189,DI Score LR,6,young,41,0.5365853658536586,0.6341463414634146,0.64,0.625,0.375,0.36
216,DI Score LR,7,aged,248,0.7298387096774194,0.7459677419354839,0.8277777777777777,0.5294117647058824,0.47058823529411764,0.17222222222222222
217,DI Score LR,7,young,52,0.6153846153846154,0.6923076923076923,0.7666666666666667,0.5909090909090909,0.4090909090909091,0.23333333333333334
244,DI Score LR,8,aged,258,0.7713178294573644,0.7403100775193798,0.8473684210526315,0.4411764705882353,0.5588235294117647,0.15263157894736842
245,DI Score LR,8,young,42,0.7380952380952381,0.6428571428571429,0.9,0.4090909090909091,0.5909090909090909,0.1
272,DI Score LR,9,aged,255,0.7137254901960784,0.7568627450980392,0.8225806451612904,0.5797101449275363,0.42028985507246375,0.1774193548387097
273,DI Score LR,9,young,45,0.7333333333333333,0.5777777777777777,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.20833333333333334
22,DI Score SVM,0,aged,249,0.7068273092369478,0.7269076305220884,0.7967032967032966,0.5373134328358209,0.4626865671641791,0.2032967032967033
23,DI Score SVM,0,young,51,0.7254901960784313,0.5490196078431373,0.75,0.30434782608695654,0.6956521739130435,0.25
50,DI Score SVM,1,aged,255,0.6745098039215687,0.7137254901960784,0.7734806629834254,0.5675675675675675,0.43243243243243246,0.2265193370165746
51,DI Score SVM,1,young,45,0.7333333333333333,0.7777777777777778,0.896551724137931,0.5625,0.4375,0.10344827586206896
78,DI Score SVM,2,aged,260,0.6230769230769231,0.7269230769230769,0.745945945945946,0.68,0.32,0.25405405405405407
79,DI Score SVM,2,young,40,0.7,0.675,0.8,0.4666666666666667,0.5333333333333333,0.2
106,DI Score SVM,3,aged,262,0.6717557251908397,0.7137404580152672,0.7700534759358288,0.5733333333333334,0.4266666666666667,0.22994652406417113
107,DI Score SVM,3,young,38,0.7368421052631579,0.7105263157894737,0.8695652173913043,0.4666666666666667,0.5333333333333333,0.13043478260869565
134,DI Score SVM,4,aged,255,0.6196078431372549,0.7019607843137254,0.7204301075268817,0.6521739130434783,0.34782608695652173,0.27956989247311825
135,DI Score SVM,4,young,45,0.6444444444444445,0.5777777777777777,0.7083333333333334,0.42857142857142855,0.5714285714285714,0.2916666666666667
162,DI Score SVM,5,aged,254,0.6732283464566929,0.7637795275590551,0.8032786885245902,0.6619718309859155,0.3380281690140845,0.19672131147540983
163,DI Score SVM,5,young,46,0.6956521739130435,0.5869565217391305,0.7407407407407407,0.3684210526315789,0.631578947368421,0.25925925925925924
190,DI Score SVM,6,aged,259,0.6602316602316602,0.7451737451737451,0.7837837837837838,0.6486486486486487,0.35135135135135137,0.21621621621621623
191,DI Score SVM,6,young,41,0.5121951219512195,0.6585365853658537,0.64,0.6875,0.3125,0.36
218,DI Score SVM,7,aged,248,0.6330645161290323,0.7379032258064516,0.7555555555555555,0.6911764705882353,0.3088235294117647,0.24444444444444444
219,DI Score SVM,7,young,52,0.5,0.7307692307692307,0.7,0.7727272727272727,0.22727272727272727,0.3
246,DI Score SVM,8,aged,258,0.6550387596899225,0.7248062015503876,0.7578947368421053,0.6323529411764706,0.36764705882352944,0.24210526315789474
247,DI Score SVM,8,young,42,0.6428571428571429,0.6428571428571429,0.8,0.5,0.5,0.2
274,DI Score SVM,9,aged,255,0.6627450980392157,0.7372549019607844,0.7741935483870968,0.6376811594202898,0.36231884057971014,0.22580645161290322
275,DI Score SVM,9,young,45,0.6222222222222222,0.6,0.7083333333333334,0.47619047619047616,0.5238095238095238,0.2916666666666667
24,Equal. Oppor. DP,0,aged,249,0.7670682730923695,0.6987951807228916,0.8186813186813187,0.373134328358209,0.6268656716417911,0.1813186813186813
25,Equal. Oppor. DP,0,young,51,0.8627450980392157,0.5686274509803921,0.8928571428571429,0.17391304347826086,0.8260869565217391,0.10714285714285714
52,Equal. Oppor. DP,1,aged,255,0.7294117647058823,0.7294117647058823,0.8232044198895028,0.5,0.5,0.17679558011049723
53,Equal. Oppor. DP,1,young,45,0.7111111111111111,0.8,0.896551724137931,0.625,0.375,0.10344827586206896
80,Equal. Oppor. DP,2,aged,260,0.6961538461538461,0.7615384615384615,0.8216216216216217,0.6133333333333333,0.38666666666666666,0.1783783783783784
81,Equal. Oppor. DP,2,young,40,0.825,0.75,0.96,0.4,0.6,0.04
108,Equal. Oppor. DP,3,aged,262,0.7786259541984732,0.7442748091603053,0.8663101604278075,0.44,0.56,0.13368983957219252
109,Equal. Oppor. DP,3,young,38,0.8157894736842105,0.631578947368421,0.8695652173913043,0.26666666666666666,0.7333333333333333,0.13043478260869565
136,Equal. Oppor. DP,4,aged,255,0.7372549019607844,0.7254901960784313,0.8172043010752689,0.4782608695652174,0.5217391304347826,0.1827956989247312
137,Equal. Oppor. DP,4,young,45,0.7111111111111111,0.6,0.7916666666666666,0.38095238095238093,0.6190476190476191,0.20833333333333334
164,Equal. Oppor. DP,5,aged,254,0.7440944881889764,0.8031496062992126,0.8797814207650273,0.6056338028169014,0.39436619718309857,0.12021857923497267
