,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
38,DI Remover,1,aged,255,0.7764705882352941,0.7843137254901961,0.8907103825136612,0.5138888888888888,0.4861111111111111,0.1092896174863388
39,DI Remover,1,young,45,0.5333333333333333,0.5333333333333333,0.5555555555555556,0.5,0.5,0.4444444444444444
66,DI Remover,2,aged,263,0.7376425855513308,0.7414448669201521,0.8315789473684211,0.5068493150684932,0.4931506849315068,0.16842105263157894
67,DI Remover,2,young,37,0.5135135135135135,0.5945945945945946,0.6,0.5882352941176471,0.4117647058823529,0.4
94,DI Remover,3,aged,252,0.7817460317460317,0.7857142857142857,0.8907103825136612,0.5072463768115942,0.4927536231884058,0.1092896174863388
95,DI Remover,3,young,48,0.6458333333333334,0.7083333333333334,0.8148148148148148,0.5714285714285714,0.42857142857142855,0.18518518518518517
122,DI Remover,4,aged,254,0.9330708661417323,0.7559055118110236,0.9781420765027322,0.18309859154929578,0.8169014084507042,0.02185792349726776
123,DI Remover,4,young,46,0.8478260869565217,0.6521739130434783,0.9259259259259259,0.2631578947368421,0.7368421052631579,0.07407407407407407
150,DI Remover,5,aged,251,0.796812749003984,0.7649402390438247,0.8895027624309392,0.44285714285714284,0.5571428571428572,0.11049723756906077
151,DI Remover,5,young,49,0.6530612244897959,0.6530612244897959,0.7586206896551724,0.5,0.5,0.2413793103448276
178,DI Remover,6,aged,256,0.77734375,0.734375,0.8579234972677595,0.4246575342465753,0.5753424657534246,0.14207650273224043
179,DI Remover,6,young,44,0.6363636363636364,0.6590909090909091,0.7407407407407407,0.5294117647058824,0.47058823529411764,0.25925925925925924
206,DI Remover,7,aged,263,0.7338403041825095,0.7566539923954373,0.8412698412698413,0.5405405405405406,0.4594594594594595,0.15873015873015872
207,DI Remover,7,young,37,0.35135135135135137,0.6216216216216216,0.47619047619047616,0.8125,0.1875,0.5238095238095238
234,DI Remover,8,aged,263,0.8098859315589354,0.8136882129277566,0.9456521739130435,0.5063291139240507,0.4936708860759494,0.05434782608695652
235,DI Remover,8,young,37,0.4594594594594595,0.5945945945945946,0.5384615384615384,0.7272727272727273,0.2727272727272727,0.46153846153846156
262,DI Remover,9,aged,258,0.8062015503875969,0.7596899224806202,0.9010989010989011,0.42105263157894735,0.5789473684210527,0.0989010989010989
263,DI Remover,9,young,42,0.5238095238095238,0.5238095238095238,0.5357142857142857,0.5,0.5,0.4642857142857143
20,DI Score LR,0,aged,259,0.7413127413127413,0.7799227799227799,0.8609625668449198,0.5694444444444444,0.4305555555555556,0.13903743315508021
21,DI Score LR,0,young,41,0.7073170731707317,0.7073170731707317,0.8695652173913043,0.5,0.5,0.13043478260869565
48,DI Score LR,1,aged,255,0.792156862745098,0.792156862745098,0.907103825136612,0.5,0.5,0.09289617486338798
49,DI Score LR,1,young,45,0.6,0.5111111111111111,0.5925925925925926,0.3888888888888889,0.6111111111111112,0.4074074074074074
76,DI Score LR,2,aged,263,0.7338403041825095,0.7376425855513308,0.8263157894736842,0.5068493150684932,0.4931506849315068,0.1736842105263158
