,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
217,Corr. Remover,8,young,38,0.6052631578947368,0.6052631578947368,0.7222222222222222,0.5,0.5,0.2777777777777778
242,Corr. Remover,9,aged,254,0.6023622047244095,0.7165354330708661,0.7288135593220338,0.6883116883116883,0.3116883116883117,0.2711864406779661
243,Corr. Remover,9,young,46,0.7391304347826086,0.7608695652173914,0.8484848484848485,0.5384615384615384,0.46153846153846156,0.15151515151515152
10,DI Remover,0,aged,250,0.544,0.688,0.6611111111111111,0.7571428571428571,0.24285714285714285,0.3388888888888889
11,DI Remover,0,young,50,0.48,0.6,0.5666666666666667,0.65,0.35,0.43333333333333335
36,DI Remover,1,aged,250,1.0,0.712,1.0,0.0,1.0,0.0
37,DI Remover,1,young,50,1.0,0.64,1.0,0.0,1.0,0.0
62,DI Remover,2,aged,248,0.6693548387096774,0.7540322580645161,0.7932960893854749,0.6521739130434783,0.34782608695652173,0.20670391061452514
63,DI Remover,2,young,52,0.5384615384615384,0.6730769230769231,0.6774193548387096,0.6666666666666666,0.3333333333333333,0.3225806451612903
88,DI Remover,3,aged,247,0.6275303643724697,0.6720647773279352,0.7078651685393258,0.5797101449275363,0.42028985507246375,0.29213483146067415
89,DI Remover,3,young,53,0.5283018867924528,0.660377358490566,0.65625,0.6666666666666666,0.3333333333333333,0.34375
114,DI Remover,4,aged,254,0.6062992125984252,0.6929133858267716,0.7065217391304348,0.6571428571428571,0.34285714285714286,0.29347826086956524
115,DI Remover,4,young,46,0.4782608695652174,0.6521739130434783,0.6153846153846154,0.7,0.3,0.38461538461538464
140,DI Remover,5,aged,259,1.0,0.7027027027027027,1.0,0.0,1.0,0.0
141,DI Remover,5,young,41,1.0,0.6829268292682927,1.0,0.0,1.0,0.0
166,DI Remover,6,aged,258,0.9961240310077519,0.7286821705426356,1.0,0.014084507042253521,0.9859154929577465,0.0
167,DI Remover,6,young,42,1.0,0.5476190476190477,1.0,0.0,1.0,0.0
192,DI Remover,7,aged,250,0.06,0.304,0.06077348066298342,0.9420289855072463,0.057971014492753624,0.9392265193370166
193,DI Remover,7,young,50,0.04,0.46,0.06896551724137931,1.0,0.0,0.9310344827586207
218,DI Remover,8,aged,262,0.7175572519083969,0.7786259541984732,0.8385416666666666,0.6142857142857143,0.38571428571428573,0.16145833333333334
219,DI Remover,8,young,38,0.6578947368421053,0.5526315789473685,0.7222222222222222,0.4,0.6,0.2777777777777778
244,DI Remover,9,aged,254,0.6535433070866141,0.7362204724409449,0.7796610169491526,0.6363636363636364,0.36363636363636365,0.22033898305084745
245,DI Remover,9,young,46,0.6956521739130435,0.8043478260869565,0.8484848484848485,0.6923076923076923,0.3076923076923077,0.15151515151515152
20,DI Score,0,aged,250,0.636,0.74,0.7611111111111111,0.6857142857142857,0.3142857142857143,0.2388888888888889
21,DI Score,0,young,50,0.74,0.62,0.8,0.35,0.65,0.2
46,DI Score,1,aged,250,0.684,0.748,0.8033707865168539,0.6111111111111112,0.3888888888888889,0.19662921348314608
47,DI Score,1,young,50,0.74,0.62,0.78125,0.3333333333333333,0.6666666666666666,0.21875
72,DI Score,2,aged,248,0.657258064516129,0.7983870967741935,0.8156424581005587,0.7536231884057971,0.2463768115942029,0.18435754189944134
73,DI Score,2,young,52,0.6923076923076923,0.6730769230769231,0.8064516129032258,0.47619047619047616,0.5238095238095238,0.1935483870967742
98,DI Score,3,aged,247,0.6639676113360324,0.7165991902834008,0.7640449438202247,0.5942028985507246,0.4057971014492754,0.23595505617977527
99,DI Score,3,young,53,0.7547169811320755,0.6981132075471698,0.875,0.42857142857142855,0.5714285714285714,0.125
124,DI Score,4,aged,254,0.6338582677165354,0.7283464566929134,0.75,0.6714285714285714,0.32857142857142857,0.25
125,DI Score,4,young,46,0.6956521739130435,0.6521739130434783,0.8076923076923077,0.45,0.55,0.19230769230769232
150,DI Score,5,aged,259,0.6640926640926641,0.7451737451737451,0.7912087912087912,0.6363636363636364,0.36363636363636365,0.2087912087912088
151,DI Score,5,young,41,0.6829268292682927,0.7560975609756098,0.8214285714285714,0.6153846153846154,0.38461538461538464,0.17857142857142858
176,DI Score,6,aged,258,0.689922480620155,0.7635658914728682,0.8128342245989305,0.6338028169014085,0.36619718309859156,0.18716577540106952
177,DI Score,6,young,42,0.5952380952380952,0.7142857142857143,0.782608695652174,0.631578947368421,0.3684210526315789,0.21739130434782608
202,DI Score,7,aged,250,0.656,0.732,0.7679558011049724,0.6376811594202898,0.36231884057971014,0.23204419889502761
203,DI Score,7,young,50,0.64,0.66,0.7586206896551724,0.5238095238095238,0.47619047619047616,0.2413793103448276
228,DI Score,8,aged,262,0.6297709923664122,0.7366412213740458,0.75,0.7,0.3,0.25
229,DI Score,8,young,38,0.7368421052631579,0.5789473684210527,0.8333333333333334,0.35,0.65,0.16666666666666666
254,DI Score,9,aged,254,0.6771653543307087,0.7204724409448819,0.7853107344632768,0.5714285714285714,0.42857142857142855,0.21468926553672316
255,DI Score,9,young,46,0.8478260869565217,0.782608695652174,0.9393939393939394,0.38461538461538464,0.6153846153846154,0.06060606060606061
22,Equal. Oppor. DP,0,aged,250,0.596,0.716,0.7166666666666667,0.7142857142857143,0.2857142857142857,0.2833333333333333
23,Equal. Oppor. DP,0,young,50,0.78,0.58,0.8,0.25,0.75,0.2
48,Equal. Oppor. DP,1,aged,250,1.0,0.712,1.0,0.0,1.0,0.0
49,Equal. Oppor. DP,1,young,50,1.0,0.64,1.0,0.0,1.0,0.0
74,Equal. Oppor. DP,2,aged,248,0.6653225806451613,0.7580645161290323,0.7932960893854749,0.6666666666666666,0.3333333333333333,0.20670391061452514
75,Equal. Oppor. DP,2,young,52,0.6153846153846154,0.5961538461538461,0.6774193548387096,0.47619047619047616,0.5238095238095238,0.3225806451612903
