,algorithm,run_id,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
216,DI Score LR,7,Female,4897,0.04839697774147437,0.9052481110884215,0.3019197207678883,0.9851988899167438,0.014801110083256245,0.6980802792321117
217,DI Score LR,7,Male,9756,0.26086510865108653,0.7974579745797458,0.596999659052165,0.8836289022424154,0.11637109775758464,0.403000340947835
244,DI Score LR,8,Female,4834,0.045717832023169216,0.9120810922631362,0.3082706766917293,0.9867503486750349,0.013249651324965132,0.6917293233082706
245,DI Score LR,8,Male,9819,0.2547102556268459,0.7958040533659232,0.5833893745796906,0.8880934989043097,0.11190650109569028,0.41661062542030936
272,DI Score LR,9,Female,4844,0.0514037985136251,0.9145334434351775,0.33727810650887574,0.9820152178925524,0.017984782107447545,0.6627218934911243
273,DI Score LR,9,Male,9809,0.26373738403506986,0.7956978285248242,0.5971990663554518,0.8831130690161527,0.11688693098384728,0.40280093364454816
22,DI Score SVM,0,Female,4828,0.2508285004142502,0.8061309030654515,0.7459749552772809,0.8140079643944718,0.18599203560552824,0.25402504472271914
23,DI Score SVM,0,Male,9825,0.29251908396946563,0.7751653944020356,0.6128266033254157,0.8447223029950567,0.1552776970049433,0.38717339667458434
50,DI Score SVM,1,Female,4908,0.2506112469437653,0.7944172779136104,0.7080979284369114,0.8048891935115375,0.1951108064884624,0.2919020715630885
51,DI Score SVM,1,Male,9745,0.2892765520779887,0.7695228322216521,0.5963025210084033,0.845642540620384,0.15435745937961595,0.40369747899159664
78,DI Score SVM,2,Female,4828,0.24606462303231152,0.8032311516155758,0.7245283018867924,0.8129362494183341,0.18706375058166588,0.27547169811320754
79,DI Score SVM,2,Male,9825,0.29872773536895675,0.7755725190839695,0.6226478494623656,0.8420207329537158,0.15797926704628412,0.37735215053763443
106,DI Score SVM,3,Female,4803,0.2383926712471372,0.8088694565896315,0.7212475633528265,0.8193473193473193,0.18065268065268064,0.2787524366471735
107,DI Score SVM,3,Male,9850,0.2850761421319797,0.7728934010152284,0.5953892415636485,0.8503718827475573,0.14962811725244277,0.40461075843635147
134,DI Score SVM,4,Female,4891,0.24575751380085872,0.8049478634226129,0.7279411764705882,0.8145847711065103,0.18541522889348977,0.27205882352941174
135,DI Score SVM,4,Male,9762,0.2908215529604589,0.7792460561360377,0.6154625253207292,0.8505882352941176,0.14941176470588236,0.38453747467927074
162,DI Score SVM,5,Female,4865,0.24809866392600205,0.8008221993833504,0.7236842105263158,0.8102930994691899,0.18970690053081007,0.27631578947368424
163,DI Score SVM,5,Male,9788,0.2895382100531263,0.7797302819779321,0.6139878950907868,0.8520692691517464,0.1479307308482536,0.38601210490921317
190,DI Score SVM,6,Female,4916,0.2453213995117982,0.8010577705451587,0.7159090909090909,0.8113035551504102,0.18869644484958978,0.2840909090909091
191,DI Score SVM,6,Male,9737,0.2883845126835781,0.7738523159083907,0.6017461383478845,0.8496819056073384,0.15031809439266164,0.3982538616521155
218,DI Score SVM,7,Female,4897,0.2517868082499489,0.801511129262814,0.7277486910994765,0.8112858464384829,0.1887141535615171,0.27225130890052357
219,DI Score SVM,7,Male,9756,0.2935629356293563,0.7764452644526445,0.6164336856460961,0.8452293712443206,0.15477062875567932,0.38356631435390387
246,DI Score SVM,8,Female,4834,0.2470004137360364,0.8038891187422424,0.731203007518797,0.8128777312877731,0.18712226871222687,0.26879699248120303
247,DI Score SVM,8,Male,9819,0.29004990324880336,0.7751298502902536,0.6075991930060525,0.847918188458729,0.152081811541271,0.3924008069939475
274,DI Score SVM,9,Female,4844,0.2462840627580512,0.8026424442609413,0.7337278106508875,0.8106986396126354,0.18930136038736453,0.26627218934911245
275,DI Score SVM,9,Male,9809,0.29085533693546745,0.7787745947599144,0.6138712904301434,0.8513950073421439,0.1486049926578561,0.3861287095698566
24,Equal. Oppor. DP,0,Female,4828,0.05136702568351284,0.9049295774647887,0.3112701252236136,0.9826657296790817,0.01733427032091825,0.6887298747763864
25,Equal. Oppor. DP,0,Male,9825,0.048040712468193386,0.7175572519083969,0.10926365795724466,0.9781913346903169,0.021808665309683048,0.8907363420427553
52,Equal. Oppor. DP,1,Female,4908,0.05419722901385493,0.9121841890790546,0.3446327683615819,0.9810372401188028,0.018962759881197166,0.655367231638418
53,Equal. Oppor. DP,1,Male,9745,0.05059004617752694,0.7151359671626475,0.11630252100840337,0.9782865583456425,0.02171344165435746,0.8836974789915967
80,Equal. Oppor. DP,2,Female,4828,0.0468102734051367,0.9105219552609777,0.30566037735849055,0.9851093531875291,0.014890646812470917,0.6943396226415094
81,Equal. Oppor. DP,2,Male,9825,0.05455470737913486,0.7172519083969465,0.12331989247311828,0.9753248649437875,0.024675135056212587,0.8766801075268817
108,Equal. Oppor. DP,3,Female,4803,0.0462211118051218,0.9152612950239434,0.31968810916179335,0.9864801864801864,0.01351981351981352,0.6803118908382066
109,Equal. Oppor. DP,3,Male,9850,0.04893401015228426,0.714010152284264,0.10992315402606082,0.9776870351465655,0.022312964853434446,0.8900768459739392
136,Equal. Oppor. DP,4,Female,4891,0.04641177673277448,0.9077898180331221,0.29411764705882354,0.9845870715435933,0.015412928456406717,0.7058823529411765
137,Equal. Oppor. DP,4,Male,9762,0.04742880557262856,0.7157344806392133,0.10972316002700878,0.9797058823529412,0.020294117647058824,0.8902768399729912
164,Equal. Oppor. DP,5,Female,4865,0.051387461459403906,0.9120246659815006,0.33270676691729323,0.983152550196169,0.016847449803831065,0.6672932330827067
165,Equal. Oppor. DP,5,Male,9788,0.05169595422966898,0.7172047404985696,0.11970410221923336,0.9779864983856765,0.02201350161432345,0.8802958977807667
192,Equal. Oppor. DP,6,Female,4916,0.046989422294548416,0.9123270951993491,0.3106060606060606,0.9847310847766636,0.015268915223336371,0.6893939393939394
193,Equal. Oppor. DP,6,Male,9737,0.04816678648454349,0.7125397966519462,0.10879785090664876,0.978547122355378,0.021452877644621986,0.8912021490933513
220,Equal. Oppor. DP,7,Female,4897,0.04860118439861139,0.9050439044312845,0.3019197207678883,0.9849676225716929,0.015032377428307124,0.6980802792321117
221,Equal. Oppor. DP,7,Male,9756,0.04551045510455105,0.7128946289462894,0.09819297647459939,0.9771361571156383,0.022863842884361718,0.9018070235254007
248,Equal. Oppor. DP,8,Female,4834,0.046752172114191144,0.911460488208523,0.3101503759398496,0.9858205485820548,0.014179451417945141,0.6898496240601504
249,Equal. Oppor. DP,8,Male,9819,0.049801405438435684,0.7194215296873409,0.11903160726294552,0.9802775748721695,0.019722425127830533,0.8809683927370545
276,Equal. Oppor. DP,9,Female,4844,0.0514037985136251,0.9145334434351775,0.33727810650887574,0.9820152178925524,0.017984782107447545,0.6627218934911243
277,Equal. Oppor. DP,9,Male,9809,0.05025996533795494,0.7108777653175655,0.10936978992997666,0.9757709251101322,0.024229074889867842,0.8906302100700233
26,Equal. Oppor. EO,0,Female,4828,0.09942004971002485,0.8680613090306545,0.3595706618962433,0.9346451159522137,0.06535488404778636,0.6404293381037567
27,Equal. Oppor. EO,0,Male,9825,0.15195928753180662,0.7538931297709923,0.3430607397353241,0.9299214888048851,0.07007851119511486,0.656939260264676
54,Equal. Oppor. EO,1,Female,4908,0.10554197229013855,0.8681744091279544,0.3785310734463277,0.927575965273018,0.07242403472698195,0.6214689265536724
55,Equal. Oppor. EO,1,Male,9745,0.16316059517701384,0.7593637762955362,0.373109243697479,0.9290989660265879,0.07090103397341212,0.626890756302521
82,Equal. Oppor. EO,2,Female,4828,0.103976801988401,0.8632974316487159,0.35094339622641507,0.9264774313634249,0.07352256863657515,0.6490566037735849
83,Equal. Oppor. EO,2,Male,9825,0.1764885496183206,0.7620356234096692,0.39852150537634407,0.9199883194626953,0.08001168053730472,0.6014784946236559
110,Equal. Oppor. EO,3,Female,4803,0.09681449094316052,0.8738288569643973,0.36257309941520466,0.9349650349650349,0.06503496503496503,0.6374269005847953
111,Equal. Oppor. EO,3,Male,9850,0.14416243654822336,0.7544162436548223,0.3331105913798864,0.9383112148169753,0.06168878518302465,0.6668894086201136
138,Equal. Oppor. EO,4,Female,4891,0.09527703946023308,0.8671028419546105,0.33088235294117646,0.9342074994248907,0.06579250057510927,0.6691176470588235
