,algorithm,run_id,accuracy,TPR,TNR,FPR,FNR,DP-Diff,DP-Ratio,EO-Diff,EO-Ratio
4,Corr. Remover,0,0.9665045921123717,0.9928825622775801,0.9444444444444444,0.05555555555555555,0.0071174377224199285,0.13485075061661256,0.7341714968262598,0.024550069220119985,0.5969696969696969
17,Corr. Remover,1,0.9665045921123717,0.9928825622775801,0.9444444444444444,0.05555555555555555,0.0071174377224199285,0.13485075061661256,0.7341714968262598,0.024550069220119985,0.5969696969696969
30,Corr. Remover,2,0.9665045921123717,0.9928825622775801,0.9444444444444444,0.05555555555555555,0.0071174377224199285,0.13485075061661256,0.7341714968262598,0.024550069220119985,0.5969696969696969
43,Corr. Remover,3,0.9665045921123717,0.9928825622775801,0.9444444444444444,0.05555555555555555,0.0071174377224199285,0.13485075061661256,0.7341714968262598,0.024550069220119985,0.5969696969696969
56,Corr. Remover,4,0.9665045921123717,0.9928825622775801,0.9444444444444444,0.05555555555555555,0.0071174377224199285,0.13485075061661256,0.7341714968262598,0.024550069220119985,0.5969696969696969
69,Corr. Remover,5,0.9665045921123717,0.9928825622775801,0.9444444444444444,0.05555555555555555,0.0071174377224199285,0.13485075061661256,0.7341714968262598,0.024550069220119985,0.5969696969696969
82,Corr. Remover,6,0.9665045921123717,0.9928825622775801,0.9444444444444444,0.05555555555555555,0.0071174377224199285,0.13485075061661256,0.7341714968262598,0.024550069220119985,0.5969696969696969
95,Corr. Remover,7,0.9665045921123717,0.9928825622775801,0.9444444444444444,0.05555555555555555,0.0071174377224199285,0.13485075061661256,0.7341714968262598,0.024550069220119985,0.5969696969696969
108,Corr. Remover,8,0.9665045921123717,0.9928825622775801,0.9444444444444444,0.05555555555555555,0.0071174377224199285,0.13485075061661256,0.7341714968262598,0.024550069220119985,0.5969696969696969
121,Corr. Remover,9,0.9665045921123717,0.9928825622775801,0.9444444444444444,0.05555555555555555,0.0071174377224199285,0.13485075061661256,0.7341714968262598,0.024550069220119985,0.5969696969696969
5,DI Remover,0,0.9692058346839546,1.0,0.9434523809523809,0.05654761904761905,0.0,0.1322969062554621,0.7408971096682908,0.025819104753114906,0.584786641929499
18,DI Remover,1,0.9692058346839546,1.0,0.9434523809523809,0.05654761904761905,0.0,0.1322969062554621,0.7408971096682908,0.025819104753114906,0.584786641929499
31,DI Remover,2,0.9692058346839546,1.0,0.9434523809523809,0.05654761904761905,0.0,0.1322969062554621,0.7408971096682908,0.025819104753114906,0.584786641929499
44,DI Remover,3,0.9692058346839546,1.0,0.9434523809523809,0.05654761904761905,0.0,0.1322969062554621,0.7408971096682908,0.025819104753114906,0.584786641929499
57,DI Remover,4,0.9692058346839546,1.0,0.9434523809523809,0.05654761904761905,0.0,0.1322969062554621,0.7408971096682908,0.025819104753114906,0.584786641929499
70,DI Remover,5,0.9692058346839546,1.0,0.9434523809523809,0.05654761904761905,0.0,0.1322969062554621,0.7408971096682908,0.025819104753114906,0.584786641929499
83,DI Remover,6,0.9692058346839546,1.0,0.9434523809523809,0.05654761904761905,0.0,0.1322969062554621,0.7408971096682908,0.025819104753114906,0.584786641929499
96,DI Remover,7,0.9692058346839546,1.0,0.9434523809523809,0.05654761904761905,0.0,0.1322969062554621,0.7408971096682908,0.025819104753114906,0.584786641929499
109,DI Remover,8,0.9692058346839546,1.0,0.9434523809523809,0.05654761904761905,0.0,0.1322969062554621,0.7408971096682908,0.025819104753114906,0.584786641929499
122,DI Remover,9,0.9692058346839546,1.0,0.9434523809523809,0.05654761904761905,0.0,0.1322969062554621,0.7408971096682908,0.025819104753114906,0.584786641929499
10,DI Score,0,0.946515397082658,0.9845788849347569,0.9146825396825397,0.08531746031746032,0.01542111506524318,0.12132411489386496,0.7654296882333724,0.01610521458237195,0.8187012987012986
23,DI Score,1,0.9421934089681253,0.9845788849347569,0.9067460317460317,0.09325396825396826,0.01542111506524318,0.1158377192130664,0.7774618880257884,0.008814028610982919,0.9073939393939394
36,DI Score,2,0.9454349000540249,0.9869513641755635,0.9107142857142857,0.08928571428571429,0.013048635824436536,0.12170282185236259,0.7661943244312118,0.015366866635902171,0.8341220423412204
