,algorithm,run_id,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
132,DI Score LR,4,aged,256,0.76171875,0.765625,0.8688524590163934,0.5068493150684932,0.4931506849315068,0.13114754098360656
133,DI Score LR,4,young,44,0.7045454545454546,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.5294117647058824,0.18518518518518517
160,DI Score LR,5,aged,252,0.7341269841269841,0.7738095238095238,0.8595505617977528,0.5675675675675675,0.43243243243243246,0.1404494382022472
161,DI Score LR,5,young,48,0.7916666666666666,0.625,0.8125,0.25,0.75,0.1875
188,DI Score LR,6,aged,257,0.7354085603112841,0.7626459143968871,0.8440860215053764,0.5492957746478874,0.4507042253521127,0.15591397849462366
189,DI Score LR,6,young,43,0.8372093023255814,0.627906976744186,0.9166666666666666,0.2631578947368421,0.7368421052631579,0.08333333333333333
216,DI Score LR,7,aged,257,0.7431906614785992,0.7821011673151751,0.8648648648648649,0.5694444444444444,0.4305555555555556,0.13513513513513514
217,DI Score LR,7,young,43,0.7674418604651163,0.6744186046511628,0.88,0.3888888888888889,0.6111111111111112,0.12
244,DI Score LR,8,aged,260,0.7692307692307693,0.7615384615384615,0.8670212765957447,0.4861111111111111,0.5138888888888888,0.13297872340425532
245,DI Score LR,8,young,40,0.775,0.675,0.9090909090909091,0.3888888888888889,0.6111111111111112,0.09090909090909091
272,DI Score LR,9,aged,255,0.8196078431372549,0.7647058823529411,0.9027027027027027,0.4,0.6,0.0972972972972973
273,DI Score LR,9,young,45,0.7333333333333333,0.6444444444444445,0.84,0.4,0.6,0.16
22,DI Score SVM,0,aged,251,0.6294820717131474,0.7569721115537849,0.770949720670391,0.7222222222222222,0.2777777777777778,0.22905027932960895
23,DI Score SVM,0,young,49,0.6938775510204082,0.7755102040816326,0.8709677419354839,0.6111111111111112,0.3888888888888889,0.12903225806451613
50,DI Score SVM,1,aged,248,0.6532258064516129,0.7540322580645161,0.7790055248618785,0.6865671641791045,0.31343283582089554,0.22099447513812154
51,DI Score SVM,1,young,52,0.75,0.6153846153846154,0.8275862068965517,0.34782608695652173,0.6521739130434783,0.1724137931034483
78,DI Score SVM,2,aged,266,0.6541353383458647,0.7293233082706767,0.7684210526315789,0.631578947368421,0.3684210526315789,0.23157894736842105
79,DI Score SVM,2,young,34,0.6764705882352942,0.6176470588235294,0.75,0.42857142857142855,0.5714285714285714,0.25
106,DI Score SVM,3,aged,254,0.6377952755905512,0.7716535433070866,0.7888888888888889,0.7297297297297297,0.2702702702702703,0.2111111111111111
107,DI Score SVM,3,young,46,0.6739130434782609,0.6739130434782609,0.7666666666666667,0.5,0.5,0.23333333333333334
134,DI Score SVM,4,aged,256,0.62890625,0.78125,0.7868852459016393,0.7671232876712328,0.2328767123287671,0.21311475409836064
135,DI Score SVM,4,young,44,0.5909090909090909,0.7045454545454546,0.7407407407407407,0.6470588235294118,0.35294117647058826,0.25925925925925924
162,DI Score SVM,5,aged,252,0.6587301587301587,0.7380952380952381,0.7808988764044944,0.6351351351351351,0.36486486486486486,0.21910112359550563
163,DI Score SVM,5,young,48,0.6875,0.6875,0.78125,0.5,0.5,0.21875
190,DI Score SVM,6,aged,257,0.6342412451361867,0.7470817120622568,0.7634408602150538,0.704225352112676,0.29577464788732394,0.23655913978494625
191,DI Score SVM,6,young,43,0.6511627906976745,0.627906976744186,0.75,0.47368421052631576,0.5263157894736842,0.25
218,DI Score SVM,7,aged,257,0.6770428015564203,0.7470817120622568,0.7945945945945946,0.625,0.375,0.20540540540540542
219,DI Score SVM,7,young,43,0.6976744186046512,0.6976744186046512,0.84,0.5,0.5,0.16
246,DI Score SVM,8,aged,260,0.6538461538461539,0.7307692307692307,0.7659574468085106,0.6388888888888888,0.3611111111111111,0.23404255319148937
247,DI Score SVM,8,young,40,0.7,0.7,0.8636363636363636,0.5,0.5,0.13636363636363635
274,DI Score SVM,9,aged,255,0.6941176470588235,0.7254901960784313,0.7891891891891892,0.5571428571428572,0.44285714285714284,0.21081081081081082
275,DI Score SVM,9,young,45,0.6888888888888889,0.7333333333333333,0.88,0.55,0.45,0.12
24,Equal. Oppor. DP,0,aged,251,0.7211155378486056,0.7529880478087649,0.8324022346368715,0.5555555555555556,0.4444444444444444,0.16759776536312848
25,Equal. Oppor. DP,0,young,49,0.8775510204081632,0.673469387755102,0.9354838709677419,0.2222222222222222,0.7777777777777778,0.06451612903225806
52,Equal. Oppor. DP,1,aged,248,0.7741935483870968,0.7862903225806451,0.8839779005524862,0.5223880597014925,0.47761194029850745,0.11602209944751381
53,Equal. Oppor. DP,1,young,52,0.7307692307692307,0.5961538461538461,0.7931034482758621,0.34782608695652173,0.6521739130434783,0.20689655172413793
80,Equal. Oppor. DP,2,aged,266,0.7819548872180451,0.7819548872180451,0.8947368421052632,0.5,0.5,0.10526315789473684
81,Equal. Oppor. DP,2,young,34,0.7647058823529411,0.6470588235294118,0.85,0.35714285714285715,0.6428571428571429,0.15
108,Equal. Oppor. DP,3,aged,254,0.7559055118110236,0.7795275590551181,0.8777777777777778,0.5405405405405406,0.4594594594594595,0.12222222222222222
109,Equal. Oppor. DP,3,young,46,0.7608695652173914,0.717391304347826,0.8666666666666667,0.4375,0.5625,0.13333333333333333
136,Equal. Oppor. DP,4,aged,256,0.78515625,0.765625,0.8852459016393442,0.4657534246575342,0.5342465753424658,0.11475409836065574
